18/03/2026 04:56:05 | common | INFO | detect_monitor_resolution:279 | Detected montior size: 1920x1080
18/03/2026 04:56:05 | shared_vars | DEBUG | _calculate_coords:106 | Calculated scaled coordinates for grace_of_stars
18/03/2026 04:56:05 | shared_vars | DEBUG | _calculate_coords:127 | Calculated scaled character positions for character_positions
18/03/2026 04:56:05 | shared_vars | DEBUG | _calculate_coords:137 | Calculated scaled battle button coordinates for battle_buttons
18/03/2026 04:56:05 | shared_vars | DEBUG | _calculate_coords:158 | Calculated scaled luxcavation coordinates for luxcavation_coords
18/03/2026 04:56:05 | shared_vars | INFO | preload_all_coordinates:165 | Preloaded 4 coordinate sets
18/03/2026 19:19:09 | common | INFO | detect_monitor_resolution:279 | Detected montior size: 1920x1080
18/03/2026 19:19:46 | common | INFO | detect_monitor_resolution:279 | Detected montior size: 1920x1080
18/03/2026 19:19:58 | common | INFO | detect_monitor_resolution:279 | Detected montior size: 1920x1080
18/03/2026 19:20:26 | common | INFO | detect_monitor_resolution:279 | Detected montior size: 1920x1080
18/03/2026 19:22:13 | common | INFO | detect_monitor_resolution:279 | Detected montior size: 1920x1080
18/03/2026 20:05:06 | common | INFO | detect_monitor_resolution:279 | Detected montior size: 1920x1080
18/03/2026 20:07:12 | common | INFO | detect_monitor_resolution:279 | Detected montior size: 1920x1080
18/03/2026 20:08:34 | common | INFO | detect_monitor_resolution:279 | Detected montior size: 1920x1080
18/03/2026 20:10:02 | common | INFO | detect_monitor_resolution:279 | Detected montior size: 1920x1080
18/03/2026 20:10:59 | common | INFO | detect_monitor_resolution:279 | Detected montior size: 1920x1080
18/03/2026 20:11:47 | common | INFO | detect_monitor_resolution:279 | Detected montior size: 1920x1080
18/03/2026 20:13:41 | common | INFO | detect_monitor_resolution:279 | Detected montior size: 1920x1080
18/03/2026 20:14:32 | common | INFO | detect_monitor_resolution:279 | Detected montior size: 1920x1080
18/03/2026 20:14:58 | common | INFO | detect_monitor_resolution:279 | Detected montior size: 1920x1080
20/03/2026 19:49:42 | common | INFO | detect_monitor_resolution:279 | Detected montior size: 1920x1080
20/03/2026 19:49:53 | common | INFO | detect_monitor_resolution:279 | Detected montior size: 1920x1080
20/03/2026 19:50:54 | common | INFO | detect_monitor_resolution:279 | Detected montior size: 1920x1080
20/03/2026 19:58:59 | common | INFO | detect_monitor_resolution:279 | Detected montior size: 1920x1080
20/03/2026 20:07:21 | common | INFO | detect_monitor_resolution:279 | Detected montior size: 1920x1080
20/03/2026 20:07:41 | common | INFO | detect_monitor_resolution:279 | Detected montior size: 1920x1080
20/03/2026 20:07:58 | common | INFO | detect_monitor_resolution:279 | Detected montior size: 1920x1080
20/03/2026 20:08:56 | common | INFO | detect_monitor_resolution:279 | Detected montior size: 1920x1080
20/03/2026 20:10:40 | common | INFO | detect_monitor_resolution:279 | Detected montior size: 1920x1080
20/03/2026 20:24:37 | common | INFO | detect_monitor_resolution:279 | Detected montior size: 1920x1080
